,Date.of.Finan..cial.Period.Before.Offer,Issue.Date,Issuer,Business.Description,Nation,Ticker.Symbol,Principal.Amount....mil.,Proceeds,Offer.Price,Type.of.Security,IPO.Flag..Y.N.,Notable VC,Investment.Bank..Lead.Left.,Additional.Lead.Underwriters,Total.VC.Funding.Raised,Age.of.Firm,Total.Revenues.in.Previous.Year,Total.Revenues.Last.Reported,Selling.and.Marketing,Total.Operating.Expenses,Net.Income,Net.Income.Margin,Long.Term.Debt,Total.Assets,Long.Term.Debt.to.Total.Asset.Ratio,HalfYearChange,X..Stock...Price..180.Days...After...Offer,market_performance,VIX_before,OneDayChange,FirstDayClose
65,12/31/14,3/25/15,Solaredge Tech Inc,Pvd photovoltaic solutions svc,United States,SEDG,126,126,18,Common Shares,Yes,"Trinity Ventures LLP
Madrona Venture Group
Trinity Ventures LLP
Trinity Ventures LLP",Goldman Sachs,1,"14,750.0",NA,79.035,133.22,17.79,40.34,-21.38,-16.05%,4.68,16,3.51%,39.94,25.19,-0.025803758,15.44,15.00%,20.700001
66,3/31/15,6/17/15,Fitbit Inc,Electronic Computer Manufacturing,United States,FIT,731.5,731.5,20,Class A Shares,Yes,"Opus Capital
Undisclosed Firm
Genesis Partners Ltd
Walden International
Norwest Venture Partners
Walden International
Lightspeed Management Company LLC
Genesis Partners Ltd
Opus Capital
Walden International
Vertex Israel II Management Ltd
Undisclosed Firm
Undisclosed Firm
Walden International
Genesis Partners Ltd
Lightspeed Management Company LLC
Opus Capital
Vertex Israel II Management Ltd
GE Energy Financial Services Inc
Opus Capital
Walden International
Genesis Partners Ltd
Vertex Israel II Management Ltd
Undisclosed Firm
GE Energy Financial Services Inc
Undisclosed Firm
Opus Capital
Genesis Partners Ltd
Vertex Venture Holdings Ltd.
GE Energy Financial Services Inc",Morgan Stanley,2,"119,075.3",NA,271.087,745.43,112.01,199.73,131.77,20.52%,159.61,63,23.85%,49.2,29.84,-0.011778554,14.5,48.40%,29.68
67,3/31/15,6/25/15,AppFolio Inc,Software Publishers,United States,APPF,74.4,74.4,12,Class A Shares,Yes,"Softbank Capital Partners L P
Softbank Capital Partners L P
Softbank Capital Partners L P
Foundry Group LLC
Foundry Group LLC
Foundry Group LLC
Foundry Group LLC
Sapphire Ventures LLC
Qualcomm Ventures
True Ventures LLC
Uncork Capital
Undisclosed Firm
Foundry Group LLC
Foundry Group LLC
Uncork Capital
Uncork Capital
True Ventures LLC
True Ventures LLC
True Ventures LLC
True Ventures LLC
True Ventures LLC
True Ventures LLC
Felicis Ventures
Felicis Ventures",Morgan Stanley,1,"73,050.4",NA,26.542,47.6,16.88,56.23,-8.62,-18.11%,0.13,41,0.36%,36.92,16.43,-0.003986692,14.01,17.33%,14.08
68,7/31/15,10/6/15,Pure Storage Inc,Mnfr data storage equip,United States,PSTG,425,425,17,Class A Shares,Yes,"e.ventures
Investment Group of Santa Barbara LLC
Undisclosed Firm
Undisclosed Firm
Investment Group of Santa Barbara LLC
Investment Group of Santa Barbara LLC
Investment Group of Santa Barbara LLC
e.ventures",Morgan Stanley,4,"52,000.0",NA,42.733,174.45,152.32,277.38,-182.23,-104.46%,0,35,0.00%,-15.35,14.39,0.001823431,19.4,-5.82%,16.01
69,09/30/15,11/18/15,Square Inc,"Data Processing, Hosting, and Related Services",United States,SQ,243.000,243.0,9.000,Class A Shares,Yes,"Index Ventures SA
Undisclosed Firm
Redpoint Ventures
Greylock Partners LLC
Sutter Hill Ventures
Samsung Venture Investment Corp
T. Rowe Price Threshold Partnerships
Greylock Partners LLC
Undisclosed Firm
Undisclosed Firm
Fidelity Investment Funds II
Greylock Partners LLC
Tiger Global Management LLC
Redpoint Ventures
Index Ventures SA
T. Rowe Price Threshold Partnerships
Samsung Venture Investment Corp
Sutter Hill Ventures
Undisclosed Firm
Greylock Partners LLC
Undisclosed Firm
Redpoint Ventures
Greylock Partners LLC
Sutter Hill Ventures
Wellington Management Company LLP
Sutter Hill Ventures
Sutter Hill Ventures
In Q Tel Inc
Redpoint Ventures
Redpoint Ventures
Tiger Global Management LLC
Index Ventures SA
Greylock Partners LLC",,,"523,571.6",,,,,,,,,,,,,,,,
70,9/30/15,12/9/15,Atlassian Corp Plc,Software Publishers,United States,TEAM,462,462,21,Class A Shares,Yes,"Sequoia Capital Operations LLC
Khosla Ventures LLC
Kleiner Perkins
Undisclosed Firm
Citi Ventures Inc
Sapphire Ventures LLC
Sapphire Ventures LLC
Gic Special Investments Pte Ltd
Goldman Sachs & Co LLC
Rizvi Traverse Management LLC
Rizvi Traverse Management LLC
Victory Park Capital Advisors LLC
First Round Capital
Tiger Global Management LLC
Kleiner Perkins
Kleiner Perkins
GGV Capital
Khosla Ventures LLC
Khosla Ventures LLC
Khosla Ventures LLC
Khosla Ventures LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Citi Ventures Inc
Citi Ventures Inc
Kleiner Perkins
Kleiner Perkins
Undisclosed Firm
Khosla Ventures LLC
Undisclosed Firm",Goldman Sachs,1,"494,750.0",NA,215.109,319.52,67.99,266.17,6.78,2.12%,0,34,0.00%,11.714,23.46,-0.013168041,19.610001,32.29%,27.780001
71,3/31/16,5/12/16,Acacia Communications Inc,Semiconductor and Related Device Manufacturing,United States,ACIA,103.5,103.5,23,Common Shares,Yes,"Accel Partners & Co Inc
T. Rowe Price Threshold Partnerships
Undisclosed Firm
Accel Partners & Co Inc
Accel Partners & Co Inc",Goldman Sachs,2,"210,000.0",NA,105.22,170.51,NA,34.39,17.88,10.49%,0,19,0.00%,217.48,73.02,0.003108003,14.41,34.57%,30.950001
72,3/31/16,6/1/16,NantHealth Inc,Computer Facilities Management Services,United States,NH,91,91,14,Common Shares,Yes,"Commonwealth Capital Ventures
Commonwealth Capital Ventures
Egan Managed Capital LP
Summit Partners LP
Matrix Partners LP
Matrix Partners LP",Jefferies,1,"20,000.0",NA,33.921,58.3,NA,94.5,-72.01,-123.52%,0,56,0.00%,-14.714,11.94,0.011059302,14.2,32.79%,18.59
73,03/31/16,06/22/16,Twilio Inc,Software Publishers,United States,TWLO,150.0,150.0,15.0,Class A Shares,Yes,"Verizon Communications Inc
Undisclosed Firm
Celgene Corp
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm",,,"507,500.0",,,,,,,,,,,,,,,,
74,6/30/16,7/22/16,TPI Composites Inc,Turbine and Turbine Generator Set Units Manufacturing,United States,TPIC,68.75,68.8,11,Common Shares,Yes,"Undisclosed Firm
Undisclosed Firm
Draper Fisher Jurvetson International Inc
Bessemer Venture Partners
T. Rowe Price Threshold Partnerships
Undisclosed Firm
Bessemer Venture Partners
Bessemer Venture Partners
Founders Fund, The
Fidelity Investment Funds II
Redpoint Ventures
Union Square Ventures LLC
Union Square Ventures LLC
Union Square Ventures LLC
Founders Fund, The
Undisclosed Firm
Salesforce Ventures
Bessemer Venture Partners
Redpoint Ventures
Draper Fisher Jurvetson International Inc
Union Square Ventures LLC
500 Startups L P
Undisclosed Firm
Bessemer Venture Partners
Altimeter Capital Management LP
Undisclosed Firm
Undisclosed Firm",JP Morgan,4,"339,014.1",NA,320.747,585.85,NA,41.75,-5.74,-0.98%,84.5,38,23.96%,62.27,17.85,0.043921186,12.02,23.27%,13.56
75,3/31/16,8/11/16,Airgain Inc,Wireless Telecommunications Carriers (Except Satellite),United States,AIRG,12,12,8,Common Shares,Yes,"Angeleno Group Investors LLC
Angeleno Group Investors LLC
Angeleno Group Investors LLC
Angeleno Group Investors LLC
Angeleno Group Investors LLC
Angeleno Group Investors LLC
Angeleno Group Investors LLC
Undisclosed Firm
GE Commercial Finance - Equity
GE Commercial Finance - Equity
Landmark Partners Inc
Landmark Partners Inc
Landmark Partners Inc
Landmark Partners Inc
Landmark Partners Inc
Landmark Partners Inc
Landmark Partners Inc
Element Management LP
Element Management LP
Element Management LP
Element Management LP
Element Management LP
Element Management LP
Element Management LP
Element Management LP
Natural Gas Partners
Natural Gas Partners
Natural Gas Partners
Natural Gas Partners
Natural Gas Partners
GE Energy Financial Services Inc
Undisclosed Firm
Undisclosed Firm
Landmark Partners Inc
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Angeleno Group Investors LLC
Element Management LP
Landmark Partners Inc
Undisclosed Firm",Northland Capital Markets,0,"109,348.8",NA,25.509,27.793,4.035,11.975,-0.27,-0.97%,0.3469,14,2.55%,104.13,16.33,0.017213292,11.68,0.00%,8
76,6/30/16,9/15/16,Everbridge Inc,Computer Systems Design Services,United States,EVBG,90,90,12,Common Shares,Yes,"First Stage Capital Equity Funds
First Stage Capital Equity Funds
First Stage Capital Equity Funds
Northwater Capital Management Inc
Northwater Capital Management Inc
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Gen3 Partners Inc
Gen3 Partners Inc
Gen3 Partners Inc
Gen3 Partners Inc
Gen3 Partners Inc
Gen3 Partners Inc
Gen3 Partners Inc
Undisclosed Firm
Undisclosed Firm
Gen3 Partners Inc
Gen3 Partners Inc
Gen3 Partners Inc",Credit Suisse,1,"16,016.7",NA,42.421,58.72,25.925,49.718,-10.824,-27.80%,1.255,47,2.57%,49.58,17.95,-0.01229587,16.299999,27.08%,15.25
77,7/31/14,9/29/16,Nutanix Inc,Software Publishers,United States,NTNX,237.92,237.9,16,Class A Shares,Yes,"ABS Ventures
Undisclosed Firm
ABS Ventures
ABS Ventures
ABS Ventures
ABS Ventures",Goldman Sachs,3,"11,280.0",NA,127.127,241.432,73.51,259.328,-126.127,-52.24%,0,10,0.00%,17.31,18.77,-0.01522939,14.02,131.25%,37
78,6/30/16,10/7/16,EverSpin Technologies,"Mnfr memory,sensors",United States,MRAM,40,40,8,Common Shares,Yes,"Beijing Capital Investment Co Ltd
Khosla Ventures LLC
Morgan Stanley Expansion Capital
Battery Ventures LP
Blumberg International Partners LLC
Blumberg International Partners LLC
Fidelity Investment Funds II
Sapphire Ventures LLC
Greenspring Associates Inc
Lightspeed Management Company LLC
Battery Ventures LP
Lightspeed Management Company LLC
Lightspeed Management Company LLC
Undisclosed Firm
Riverwood Capital Group LLC
Wellington Management Company LLP
Lightspeed Management Company LLC
Khosla Ventures LLC
Khosla Ventures LLC
Khosla Ventures LLC
Goldman Sachs & Co LLC
Lightspeed Management Company LLC",Stifel,1,"320,197.0",NA,24.896,26.546,3.823,31.514,-17.536,-66.06%,9.046,15,66.03%,6.25,8.5,-0.018127036,13.48,0.25%,8.02
79,9/25/16,10/27/16,Quantenna Communications Inc,Internet Service Providers,United States,QTNA,107.2,107.2,16,Common Shares,Yes,"New Venture Partners LLC
Draper Fisher Jurvetson International Inc
NXP USA Inc
Epic Ventures Inc
Undisclosed Firm
Undisclosed Firm
Epic Ventures Inc
New Venture Partners LLC
New Venture Partners LLC
Sigma Partners
Draper Fisher Jurvetson International Inc
Epic Ventures Inc
LUX CAPITAL GROUP L L C
Draper Fisher Jurvetson International Inc
NXP USA Inc
Draper Fisher Jurvetson International Inc
LUX CAPITAL GROUP L L C
Sigma Partners
New Venture Partners LLC
LUX CAPITAL GROUP L L C
New Venture Partners LLC
Sigma Partners
Epic Ventures Inc
Undisclosed Firm
Draper Fisher Jurvetson International Inc
Sigma Partners
New Venture Partners LLC
LUX CAPITAL GROUP L L C
Epic Ventures Inc
Undisclosed Firm
Sigma Partners
Epic Ventures Inc
New Venture Partners LLC",Morgan Stanley,2,"136,824.1",NA,66.86,83.733,6.644,47.431,-70.45,-84.14%,10.069,51,18.27%,9.624,17.54,-0.011133316,15.36,-12.06%,14.07
80,12/31/16,03/01/17,Snap Inc,Software Reproducing,United States,SNAP,3400.0,3400.0,17.0,Class A Shares,Yes,"Sigma Partners
Sigma Partners
Sigma Partners
Sigma Partners
Venrock Inc
Venrock Inc
Venrock Inc
Venrock Inc
Venrock Inc
Venrock Inc
Venrock Inc
Venrock Inc
Venrock Inc
Sequoia Capital Operations LLC
Duff Ackerman & Goodrich LLC
Grazia Equity GmbH
Grazia Equity GmbH
Grazia Equity GmbH
Grazia Equity GmbH
Grazia Equity GmbH
Grazia Equity GmbH
Southern Cross Venture Partners Pty Ltd
Southern Cross Venture Partners Pty Ltd
Rossiiskaia Korporatsiia Nanotekhnologii GK
Rossiiskaia Korporatsiia Nanotekhnologii GK
Southern Cross Venture Partners Pty Ltd
Southern Cross Venture Partners Pty Ltd
Southern Cross Venture Partners Pty Ltd
Undisclosed Firm
Sigma Partners
Sigma Partners
Sigma Partners
Sigma Partners
Sigma Partners
Sigma Partners
Duff Ackerman & Goodrich LLC
Telefonica SA
Bright Capital OOO
Venrock Inc
Undisclosed Firm
Southern Cross Venture Partners Pty Ltd
Venrock Inc
Southern Cross Venture Partners Pty Ltd
New Enterprise Associates Inc
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Duff Ackerman & Goodrich LLC
Venrock Inc
Venrock Inc
Venrock Inc
Venrock Inc
NTT Finance Corp
Sigma Partners
Duff Ackerman & Goodrich LLC
Southern Cross Venture Partners Pty Ltd
Undisclosed Firm
Venrock Inc
Southern Cross Venture Partners Pty Ltd
Sequoia Capital Operations LLC
Duff Ackerman & Goodrich LLC
Sigma Partners
Undisclosed Firm
Sigma Partners
Sigma Partners
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Southern Cross Venture Partners Pty Ltd
Duff Ackerman & Goodrich LLC
NTT Finance Corp
Rossiiskaia Korporatsiia Nanotekhnologii GK
Sequoia Capital Operations LLC
Sigma Partners
Undisclosed Firm
Undisclosed Firm
Venrock Inc
Swisscom AG
Swisscom AG
Swisscom AG
Venrock Inc
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Duff Ackerman & Goodrich LLC
TPG Capital Management LP
TPG Capital Management LP",,,"168,142.7",,,,,,,,,,,,,,,,
81,12/31/16,03/16/17,MuleSoft Inc,Software Publishers,United States,MULE,221.0,221.0,17.0,Class A Shares,Yes,"CapitalG Management Company LLC
SV Angel
Benchmark Capital
Institutional Venture Partners
Lightspeed Management Company LLC
General Catalyst Partners LLC
Benchmark Capital
Kleiner Perkins
Kleiner Perkins
Fidelity Ventures
Mail.Ru Group Ltd
Undisclosed Firm
Lightspeed Management Company LLC
Undisclosed Firm
Institutional Venture Partners
Undisclosed Firm
SV Angel
SV Angel
Coatue Management L L C
Benchmark Capital
General Catalyst Partners LLC
Undisclosed Firm
CapitalG Management Company LLC
Meritech Capital Partners
Undisclosed Firm
Undisclosed Firm",,,"2,423,771.6",,,,,,,,,,,,,,,,
82,9/30/15,4/5/17,Elevate Credit Inc,Miscellaneous Financial Investment Activities,United States,ELVT,80.6,80.6,6.5,Common Shares,Yes,"Morgenthaler Ventures
Bay Partners
Bay Partners
Morgenthaler Ventures
Morgenthaler Ventures
Morgenthaler Ventures
New Enterprise Associates Inc
Lightspeed Management Company LLC
Lightspeed Management Company LLC
Lightspeed Management Company LLC
New Enterprise Associates Inc
Sapphire Ventures LLC
Undisclosed Firm
Lightspeed Management Company LLC
Undisclosed Firm
Institutional Venture Partners
Undisclosed Firm
Hummer Winblad Venture Partner
Morgenthaler Ventures
Undisclosed Firm
Undisclosed Firm
Hummer Winblad Venture Partner
Hummer Winblad Venture Partner
New Enterprise Associates Inc
New Enterprise Associates Inc
New Enterprise Associates Inc
Sapphire Ventures LLC
Sapphire Ventures LLC
Meritech Capital Partners
Meritech Capital Partners
Bay Partners
Undisclosed Firm
Undisclosed Firm
Salesforce Ventures
Cisco Investments Inc
Hummer Winblad Venture Partner
Hummer Winblad Venture Partner
New Enterprise Associates Inc
New Enterprise Associates Inc
Morgenthaler Ventures
Morgenthaler Ventures
Canvas Venture Fund
Lightspeed Management Company LLC
Lightspeed Management Company LLC
Bay Partners
Sands Capital Management LLC
Bay Partners
Hummer Winblad Venture Partner
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Sapphire Ventures LLC
Hummer Winblad Venture Partner
Hummer Winblad Venture Partner
Hummer Winblad Venture Partner",UBS,3,"261,877.2",NA,179.694,300.306,5.878,84.612,-20.155,-6.71%,174.8,36,51.75%,-6.77,6.06,-0.012325977,12.89,19.38%,7.76
83,03/31/17,04/05/17,Elevate Credit Inc,Miscellaneous Financial Investment Activities,United States,ELVT,80.6,80.6,6.5,Common Shares,Yes,,,,,,,,,,,,,,,,,,,,
84,01/31/17,04/06/17,Okta Inc,Software Publishers,United States,OKTA,187.0,187.0,17.0,Class A Shares,Yes,"Greylock Partners LLC
Greylock Partners LLC
Greylock Partners LLC
Floodgate Fund LP
Floodgate Fund LP
Sequoia Capital Operations LLC
Altimeter Capital Management LP
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Glynn Capital Management LLC
Andreessen Horowitz LLC
Andreessen Horowitz LLC
Andreessen Horowitz LLC
Andreessen Horowitz LLC
Andreessen Horowitz LLC
Khosla Ventures LLC
Khosla Ventures LLC
Khosla Ventures LLC
Khosla Ventures LLC
Undisclosed Firm
Greylock Partners LLC
Greylock Partners LLC
Sequoia Capital Operations LLC
Greylock Partners LLC
Andreessen Horowitz LLC
Khosla Ventures LLC
Undisclosed Firm
Undisclosed Firm",,,"232,169.9",,,,,,,,,,,,,,,,
85,01/31/17,04/12/17,Yext Inc,Dvlp local search solutions,United States,YEXT,115.5,115.5,11.0,Common Shares,Yes,"Sutter Hill Ventures
Sutter Hill Ventures
Sutter Hill Ventures
WGI Group
Sutter Hill Ventures
Sutter Hill Ventures
Undisclosed Firm
Institutional Venture Partners
Institutional Venture Partners
Institutional Venture Partners
CrunchFund
WGI Group
Innovation Endeavors
Institutional Venture Partners
Insight Venture Management LLC
Institutional Venture Partners
Institutional Venture Partners
Innovation Endeavors
Undisclosed Firm",,,"116,472.9",,,,,,,,,,,,,,,,
86,01/31/17,04/27/17,Cloudera Inc,Provides data management software and services,United States,CLDR,225.0,225.0,15.0,Common Shares,Yes,"Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Ignition Ventures Management LLC
Greylock Partners LLC
Meritech Capital Partners
In Q Tel Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Greylock Partners LLC
Meritech Capital Partners
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Meritech Capital Partners
Ignition Ventures Management LLC
Greylock Partners LLC
In Q Tel Inc
MSD Capital LP
GV Management Co LLC
Undisclosed Firm
T. Rowe Price Threshold Partnerships
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Greylock Partners LLC
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Accel Partners & Co Inc
Intel Capital Corp",,,"1,040,677.3",,,,,,,,,,,,,,,,
87,03/31/17,05/11/17,Veritone Inc,Custom Computer Programming Services,United States,VERI,37.5,37.5,15.0,Common Shares,Yes,"Miramar Venture Partners LP
Undisclosed Firm
Miramar Venture Partners LP",,,"49,000.0",,,,,,,,,,,,,,,,
88,03/31/17,05/24/17,Appian Corp,Dvlp bus process mgmt software,United States,APPN,75.0,75.0,12.0,Class A Shares,Yes,"New Enterprise Associates Inc
Novak Biddle Venture Partners LP
Novak Biddle Venture Partners LP
Undisclosed Firm",,,"47,500.0",,,,,,,,,,,,,,,,
89,03/31/17,06/28/17,Blue Apron Holdings Inc,Mail-Order Houses,United States,APRN,300.0,300.0,10.0,Class A Shares,Yes,"First Round Capital
Bessemer Venture Partners
Undisclosed Firm
Bessemer Venture Partners
Bessemer Venture Partners
First Round Capital
First Round Capital
Undisclosed Firm
Undisclosed Firm
Stripes Group LLC
Stripes Group LLC
Undisclosed Firm
Bessemer Venture Partners
First Round Capital
Undisclosed Firm
Undisclosed Firm",,,"195,300.1",,,,,,,,,,,,,,,,
90,,7/27/17,Redfin Corp,Other Real Estate Services,United States,RDFN,138.465,138.5,15,Common Shares,Yes,"Vulcan Capital
Undisclosed Firm
Annox Capital
Globespan Capital Partners
Wellington Management Company LLP
Undisclosed Firm
Draper Fisher Jurvetson International Inc
Greylock Partners LLC
Madrona Venture Group
BEV Capital
Globespan Capital Partners
Greylock Partners LLC
Madrona Venture Group
Vulcan Capital
Draper Fisher Jurvetson International Inc
Madrona Venture Group
Greylock Partners LLC
BEV Capital
Globespan Capital Partners
Draper Fisher Jurvetson International Inc
Tiger Global Management LLC
Annox Capital
Undisclosed Firm
T. Rowe Price Threshold Partnerships
Vulcan Capital
Greylock Partners LLC
Madrona Venture Group
Draper Fisher Jurvetson International Inc
Hillman Co
T. Rowe Price Threshold Partnerships
Madrona Venture Group
Madrona Venture Group
Madrona Venture Group
BEV Capital
Madrona Venture Group
BEV Capital
Vulcan Capital
Hillman Co
Draper Fisher Jurvetson International Inc
Hillman Co
Glynn Capital Management LLC
Tiger Global Management LLC",Goldman Sachs,1,"168,513.3",NA,187.338,267.196,28.571,105.528,-22.526,-8.43%,0,9,0.00%,47.47,22.12,0.024323519,10.11,44.67%,21.700001
91,06/30/17,09/27/17,Roku Inc,Cable and Other Subscription Programming,United States,ROKU,219.4,219.4,14.0,Class A Shares,Yes,"Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Fidelity Investment Funds II
HearstLab
Menlo Ventures
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Globespan Capital Partners
Menlo Ventures
Undisclosed Firm
Menlo Ventures
Undisclosed Firm
Undisclosed Firm
Globespan Capital Partners
Undisclosed Firm
Menlo Ventures
Menlo Ventures
Menlo Ventures
Globespan Capital Partners",,,"196,858.9",,,,,,,,,,,,,,,,
92,9/30/17,10/11/17,Cargurus Inc,"Data Processing, Hosting, and Related Services",United States,CARG,150.4,150.4,16,Class A Shares,Yes,"T. Rowe Price Threshold Partnerships
Foxhaven Asset Management LP
Undisclosed Firm
Undisclosed Firm",Goldman Sachs,2,"60,000.0",NA,75.142,171.302,154.125,179.997,6.497,3.79%,0,11,0.00%,137.88,38.06,0.023313659,9.85,72.38%,27.58
93,7/31/17,10/18/17,MongoDB,Software Reproducing,United States,MDB,192,192,24,Class A Shares,Yes,"T. Rowe Price Threshold Partnerships
In Q Tel Inc
Goldman Sachs & Co LLC
Altimeter Capital Management LP
T. Rowe Price Threshold Partnerships
New Enterprise Associates Inc
Undisclosed Firm
Undisclosed Firm
Altimeter Capital Management LP
New Enterprise Associates Inc
Undisclosed Firm
Undisclosed Firm
Union Square Ventures LLC
Intel Capital Corp
Undisclosed Firm
Sequoia Capital Operations LLC
Intel Capital Corp
Union Square Ventures LLC
Exeter Venture Management Company LLC
Sequoia Capital Operations LLC
Union Square Ventures LLC
Exeter Venture Management Company LLC
Exeter Venture Management Company LLC
Sequoia Capital Operations LLC
Union Square Ventures LLC
Sequoia Capital Operations LLC
Exeter Venture Management Company LLC
New Enterprise Associates Inc
Union Square Ventures LLC",Morgan Stanley,3,"311,000.0",NA,65.271,101.358,78.584,157.438,-86.681,-85.52%,0,20,0.00%,59.791,38.35,0.02402691,10.07,33.63%,32.07
94,9/30/17,11/9/17,Bandwidth Inc,Internet Service Providers,United States,BAND,80,80,20,Class A Shares,Yes,Carmichael Partners LLC,Morgan Stanley,2,"22,000.0",NA,137.801,152.125,9.294,51.673,25.358,16.67%,37.674,60,59.52%,71.05,34.21,0.013942416,10.5,5.95%,21.190001
95,6/30/17,11/14/17,SendGrid Inc,Software Publishers,United States,SEND,131.2,131.2,16,Common Shares,Yes,"Techstar
Bain Capital Venture Partners LLC
Uncork Capital
Bain Capital Venture Partners LLC
Bessemer Venture Partners
Bessemer Venture Partners
Foundry Group LLC
Bessemer Venture Partners
Uncork Capital
Foundry Group LLC
Techstar
Undisclosed Firm
Highway 12 Ventures
Highway 12 Ventures
Founders Fund, The
Techstar
Uncork Capital
Uncork Capital
500 Startups L P
Highway 12 Ventures
Undisclosed Firm
Foundry Group LLC
Techstar
Foundry Group LLC
Bessemer Venture Partners
Undisclosed Firm
Bain Capital Venture Partners LLC
Highway 12 Ventures",Morgan Stanley,1,"81,896.1",NA,58.476,79.929,21.8,61.925,-3.908,-4.89%,0,66,0.00%,63.75,26.2,0.009557829,11.59,12.50%,18
96,7/29/17,11/16/17,Stitch Fix Inc,Mail-Order Houses,United States,SFIX,120,120,15,Class A Shares,Yes,"Benchmark Capital
Baseline Ventures LLC
Benchmark Capital
Lightspeed Management Company LLC
Western Technology Investment",Goldman Sachs,1,"16,749.9",NA,730.313,977.139,NA,402.781,-0.594,-0.06%,0,28,0.00%,39.47,20.92,0.012330191,11.76,1.00%,15.15
97,9/30/17,12/14/17,Casa Systems Inc,Mnfr cable edge devices,United States,CASA,78,78,13,Common Shares,Yes,Summit Partners LP,Morgan Stanley,1,"96,460.0",NA,272.45,316.128,36.114,103.539,88.668,28.05%,557.529,43,149.71%,41.307,18.37,0.030768605,10.49,10.77%,14.4
98,9/30/17,2/9/18,Cardlytics Inc,Provide marketing services,United States,CDLX,70.2,70.2,13,Common Shares,Yes,"TTV Capital LLC
Discovery Capital Corp
Discovery Capital Corp
Polaris Growth Management LLC
Polaris Growth Management LLC
TTV Capital LLC
Canaan Partners
Polaris Growth Management LLC
Canaan Partners
TTV Capital LLC
Canaan Partners
Kinetic Ventures LLC
ITC Holdings Corp
Polaris Growth Management LLC
TTV Capital LLC
Polaris Growth Management LLC
Kinetic Ventures LLC
ITC Holdings Corp
Undisclosed Firm
Canaan Partners
Canaan Partners
Undisclosed Firm
Polaris Growth Management LLC
Canaan Partners
Polaris Growth Management LLC
Undisclosed Firm
Undisclosed Firm
Polaris Growth Management LLC
Undisclosed Firm",Bank of America,1,"181,013.4",NA,77.634,112.821,31.261,169.053,-75.696,-67.09%,111.8,78,119.70%,44.769,18.82,-0.046038214,29.059999,2.85%,13.37
99,01/31/18,03/15/18,Zscaler Inc,Develop prepackaged software,United States,ZS,192.0,192.0,16.0,Common Shares,Yes,"CapitalG Management Company LLC
Tarrant Capital IP LLC
EMC Ventures
Lightspeed Management Company LLC
Lightspeed Management Company LLC
Undisclosed Firm",,,"148,000.0",,,,,,,,,,,,,,,,
100,12/31/17,03/22/18,Dropbox Inc,Pvd information retrieval svcs,United States,DBX,756.0,756.0,21.0,Common Shares,Yes,"Sequoia Capital Operations LLC
RIT Capital Partners PLC
Greylock Partners LLC
Benchmark Capital
Accel Partners & Co Inc
Sequoia Capital Operations LLC
Greylock Partners LLC
Accel Partners & Co Inc
Index Ventures SA
Goldman Sachs & Co LLC
Sequoia Capital Operations LLC
Institutional Venture Partners
RIT Capital Partners PLC
Sequoia Capital Operations LLC
Benchmark Capital
Accel Partners & Co Inc
Undisclosed Firm
Institutional Venture Partners
Goldman Sachs & Co LLC
Index Ventures SA",,,"582,250.0",,,,,,,,,,,,,,,,
